SAMPLE_ID,PROTOCOL_NAME,DATA_TYPE,ASSAY_OUTCOME,CHANNEL_OUTCOME,AC50,EFFICACY,REPRODUCIBILITY,CURVE_RANK,FLAG,CAS,PUBCHEM_CID,PUBCHEM_SID,PURITY_RATING,PURITY_RATING_4M,SAMPLE_NAME,SMILES,TOX_21_ID,PURITY
NCGC00254486-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,3147-75-9,62485,144210816,A,A,Octrizole,CC(C)(C)CC(C)(C)c1cc(c(O)cc1)n2nc3ccccc3n2,Tox21_300498,
NCGC00254123-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,96-23-1,7289,144210604,AC,A,"1,3-Dichloro-2-propanol",ClCC(O)CCl,Tox21_300284,
NCGC00258439-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,2210-79-9,16640,144208083,A,A,o-Cresyl glycidyl ether,Cc2ccccc2OCC1CO1,Tox21_200885,
NCGC00260227-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,26576-85-2,12248306,144209877,A,Z,1-Butyl-3-methylpyridinium bromide,[Br-].Cc1ccc[n+](CCCC)c1,Tox21_202679,
NCGC00258632-01,tox21-luc-biochem-p1,ratio,active antagonist,active antagonist,6.892093777,-92.88327135,active_match,-9,,29927-08-0,34757,144208277,A,A,"2-Amino-5,6-dimethylbenzothiazole",Cc1cc2nc(N)sc2cc1C,Tox21_201079,
NCGC00258965-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,834-12-8,13263,144208612,A,A,Ametryn,CSc1nc(NCC)nc(NC(C)C)n1,Tox21_201414,
NCGC00258085-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,505-48-6,10457,144207729,A,A,Octanedioic acid,O=C(O)CCCCCCC(=O)O,Tox21_200531,
NCGC00259256-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,95-94-3,7270,144208905,A,Ac,"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,Tox21_201707,
NCGC00260046-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,NOCAS_33326,6537498,144209695,F,F,Chlorowax 500C,ClC(CC(Cl)CC)C(Cl)C(Cl)C(Cl)C(C)Cl,Tox21_202497,
NCGC00257801-01,tox21-luc-biochem-p1,ratio,inconclusive antagonist,inconclusive antagonist,81.65897401,-21.65942062,inconclusive,-2,,80226-00-2,115089,144207445,A,A,(-)-Enterodiol,Oc2cc(C[C@@H](CO)[C@@H](Cc1cccc(O)c1)CO)ccc2,Tox21_200247,
